Benchmark Time,Benchmark 814,Benchmark 1134,Benchmark 1232,Benchmark Repeat 1 Time,Benchmark Repeat 1 814,Benchmark Repeat 1 1134,Benchmark Repeat 1 1232,Benchmark Repeat 2 Time,Benchmark Repeat 2 814,Benchmark Repeat 2 1134,Benchmark Repeat 2 1232,Benchmark Repeat 3 Time,Benchmark Repeat 3 814,Benchmark Repeat 3 1134,Benchmark Repeat 3 1232,High Conc KN Time,High Conc KN 814,High Conc KN 1134,High Conc KN 1232,Low Conc KN Time,Low Conc KN 814,Low Conc KN 1134,Low Conc KN 1232,Mid Conc KN Time,Mid Conc KN  814,Mid Conc KN  1134,Mid Conc KN 1232,LiN Time,LiN 814,Li 1134,Li 1232,NaN Time,NaN 814,NaN 1134,NaN 1232,Toluene Time,Toluene 814,Toluene 1107,Toluene 896,DME Time,DME 814,DME 1250,DME 886,FPh Time,FPh 820,FPh 1103,FPh 1084,DME Stoichiometric Time,DME Stoichiometric 818,DME Stoichiometric 1109,DME Stoichiometric 895,TMEDA Time,TMEDA 817,TMEDA 1241,TMEDA 878,PMDETA Time,PMDETA 817,PMDETA 1124,PMDETA 895,CPME Time,CPME 814,CPME 1207,CPME 1073,18C6 Time,18C6 816,18C6 1232,18C6 887,5% KCL Time,5%KCl 814,20% KCL Time,20%KCl 814,5% LiCl Time,5% LiCl 814,20% LiCl Time,20% LiCl 814,5% LiNTf2 Time,5% LiNTf2 814,20% LiNTf2 Time,20% LiNTf2 814,FeN Time,Fe All,Fe Linear,CoN Time,CoN All,Co Linear,MnN Time,MnN All,Mn Linear
0.017476852,44.52893,17.27246,12.81509,0.017476852,43.21927,16.75516,12.40547,0.015069444,45.11069,17.62918,12.91208,0.016168981,41.2636,15.94443,11.42919,0.016446759,60.57934,26.66204,15.47352,0.01650463,19.54467,9.73089,6.38998,0.018865741,44.48701,17.25284,12.79067,0.022106481,30.1823,13.04323,7.67759,0.032013889,43.3194,22.54207,0.11178,0.020173611,24.72644,12.09816,6.68483,0.018784722,26.08506,4.95862,5.09921,0.027997685,29.466,4.986,11.265,0.014097222,22.54142,12.76039,6.40146,0.016944444,27.17147,4.56513,4.27186,0.015717593,19.60175,6.80266,0.017669,0.020520833,30.29252,14.16229,5.54219,0.016319444,18.44353,0.072854,0.033587,0.018136574,39.62032,0.013993056,34.1436,0.019386574,40.00619,0.013993056,34.69561,0.022974537,29.5317,0.019305556,28.01497,0.003865741,11.60665,65.7588125,0.006087963,8.23295,56.9803643,0.003287037,6.22182,59.20923321
0.018865741,44.48701,17.25284,12.79067,0.018865741,43.06836,16.67905,12.3442,0.016469907,44.94871,17.55351,12.84591,0.01755787,41.15026,15.89114,11.37702,0.017824074,60.48313,26.59253,15.42374,0.017893519,19.43272,9.67318,6.34427,0.021643519,44.42686,17.21383,12.74686,0.02349537,30.17727,13.0391,7.6711,0.034791667,43.22866,22.47841,0.1114,0.021446759,24.65463,12.04784,6.60533,0.02005787,25.92966,4.92063,5.09111,0.030775463,29.011,4.738,11.005,0.01537037,22.47043,12.73258,6.33863,0.019490741,27.00529,4.52441,4.23079,0.016990741,19.12741,6.59105,0.014611,0.02306713,29.76828,13.99996,5.3945,0.017592593,18.04422,0.069577,0.031214,0.019409722,39.60652,0.015266204,33.99669,0.020648148,39.95215,0.015266204,34.54974,0.024247685,29.47551,0.020578704,27.909,0.004097222,10.32508,59.09415464,0.006319444,7.25947,50.33838298,0.003518519,5.70078,
0.02025463,44.437,17.22833,12.76459,0.02025463,42.93095,16.61374,12.28834,0.017847222,44.80744,17.48964,12.78663,0.018946759,41.02035,15.8323,11.32066,0.019212963,60.33627,26.52321,15.36544,0.019282407,19.27038,9.60059,6.28728,0.023032407,44.34075,17.17842,12.71406,0.024884259,30.14865,13.03529,7.66144,0.038958333,43.08427,22.37981,0.11071,0.023993056,24.4649,11.95863,6.43586,0.022604167,25.68625,4.81205,5.00031,0.033553241,28.58,4.474,10.744,0.016631944,22.41439,12.70552,6.27928,0.020763889,26.92323,4.50288,4.20798,0.018252315,18.63502,6.37409,0.011577,0.025613426,29.19411,13.81741,5.25127,0.018865741,17.64567,0.06627,0.028952,0.020671296,39.55617,0.0178125,33.67461,0.021921296,39.88577,0.0178125,34.23505,0.026782407,29.37982,0.021851852,27.79383,0.004328704,9.15339,52.62357823,0.006550926,6.43064,44.6833378,0.003761574,5.23849,
0.021643519,44.42686,17.21383,12.74686,0.021643519,42.81245,16.55165,12.2308,0.019236111,44.70879,17.43343,12.74004,0.020335648,40.93397,15.79116,11.28187,0.021990741,60.15207,26.40218,15.26816,0.020671296,19.02467,9.49568,6.19432,0.024421296,44.26301,17.14886,12.68098,0.026273148,30.14411,13.02921,7.65306,0.041736111,42.98782,22.31801,0.11028,0.025266204,24.37513,11.91193,6.35484,0.023865741,25.44493,4.73799,4.91696,0.03494213,28.359,4.345,10.608,0.019178241,22.28266,12.6516,6.15124,0.022037037,26.86688,4.48645,4.19253,0.019525463,18.16665,6.16382,0.0086982,0.026875,28.92467,13.72292,5.18749,0.020138889,17.24781,0.062956,0.026678,0.023217593,39.45796,0.019074074,33.52918,0.023194444,39.8023,0.019074074,34.09109,0.029328704,29.27287,0.024386574,27.61738,0.004560185,8.04678,46.70777989,0.006782407,5.71048,39.76973992,0.003993056,4.7897,
0.023032407,44.34075,17.17842,12.71406,0.023032407,42.71473,16.499,12.18844,0.020625,44.6273,17.38677,12.69882,0.021724537,40.86303,15.7583,11.24246,0.023391204,59.94009,26.29589,15.18896,0.022060185,18.95568,9.38695,6.10175,0.025810185,44.21383,17.11717,12.64639,0.027662037,30.1221,13.0207,7.64184,0.045902778,42.85322,22.22189,0.10967,0.027835648,24.16086,11.8378,6.2069,0.026412037,25.28248,4.69186,4.88093,0.037719907,27.871,4.045,10.331,0.020451389,22.19988,12.62003,6.08248,0.023298611,26.82845,4.4746,4.18331,0.020798611,17.69872,5.9507,0.0059088,0.029421296,28.34656,13.53255,5.04888,0.021400463,16.85553,0.059639,0.024351,0.024502315,39.42604,0.020347222,33.37547,0.024467593,39.71767,0.020347222,33.94025,0.031863426,29.14125,0.025659722,27.52974,0.004803241,6.95796,41.12056689,0.007013889,5.01271,,0.004224537,4.42904,
0.024421296,44.26301,17.14886,12.68098,0.024421296,42.62578,16.44843,12.14777,0.022013889,44.48623,17.32571,12.64299,0.023113426,40.85004,15.73613,11.22578,0.024780093,59.84548,26.22944,15.13683,0.024837963,18.74226,9.12085,5.85653,0.027199074,44.03886,17.02718,12.56926,0.029050926,30.06573,12.99562,7.62642,0.048680556,42.75024,22.15468,0.10926,0.029108796,24.03484,11.79719,6.13935,0.027685185,25.22085,4.66844,4.86488,0.040497685,27.398,3.761,10.068,0.021712963,22.09669,12.58111,5.9948,0.024571759,26.77163,4.45564,4.16509,0.023344907,16.7185,5.50074,0.0001282,0.031967593,27.7585,13.31195,4.90696,0.022685185,16.47524,0.056089,0.021847,0.025775463,39.42093,0.02162037,33.22652,0.027025463,39.55321,0.02162037,33.79314,0.033136574,29.08482,0.028194444,27.39728,0.005034722,6.02243,35.62317462,0.00724537,4.30683,,0.004456019,4.1391,
0.025810185,44.21383,17.11717,12.64639,0.025810185,42.49934,16.38178,12.0931,0.023402778,44.3274,17.24448,12.57681,0.024502315,40.82226,15.71056,11.20364,0.026157407,59.71215,26.16044,15.07811,0.026226852,18.47097,8.97009,5.73427,0.029976852,43.72341,16.86058,12.42166,0.030439815,30.02828,12.97976,7.61455,0.052847222,42.60348,22.05661,0.10863,0.031655093,23.75398,11.71725,6.00255,0.030231481,25.19566,4.64885,4.8268,0.043275463,26.951,3.478,9.804,0.022986111,22.02309,12.54799,5.93072,0.027118056,26.64614,4.4222,4.1271,0.024606481,16.25035,5.28634,-0.0025212,0.033240741,27.46593,13.2011,4.83619,0.023958333,16.17189,0.052373,0.019631,0.028310185,39.34443,0.022881944,33.06746,0.028414352,39.39936,0.022881944,33.64175,0.03568287,28.96486,0.029467593,27.33016,0.005266204,5.20359,30.89973512,0.007488426,3.73718,,0.004699074,3.90783,
0.027199074,44.03886,17.02718,12.56926,0.027199074,42.33291,16.30281,12.02501,0.024791667,44.20083,17.17967,12.52038,0.025891204,40.76963,15.67557,11.16903,0.027546296,59.65893,26.11289,15.03977,0.027615741,18.47543,8.92801,5.70102,0.031365741,43.54423,16.77525,12.34756,0.031828704,30.0028,12.96411,7.60256,0.055625,42.51405,21.98981,0.10818,0.032928241,23.60554,11.67906,5.92974,0.03150463,24.89451,4.5469,4.76815,0.046053241,26.509,3.204,9.552,0.024259259,21.94156,12.51743,5.86154,0.028391204,26.55419,4.39855,4.10859,0.02587963,15.77524,5.06948,-0.0051906,0.035787037,26.85986,12.95471,4.69844,,,,,0.029583333,39.29276,0.024155093,32.93405,0.029803241,39.33208,0.024155093,33.50981,0.038229167,28.82924,0.032013889,27.14339,0.005497685,4.47431,26.76545702,0.007719907,3.11646,,0.004918981,3.70831,
0.028587963,43.8672,16.94066,12.49374,0.028587963,42.1841,16.2288,11.9616,0.026180556,44.07071,17.11603,12.46085,0.027280093,40.68681,15.62685,11.1236,0.028935185,59.55983,26.06269,14.99945,0.02900463,18.03969,8.74562,5.5506,0.03275463,43.40904,16.70248,12.28395,0.033217593,29.96833,12.94815,7.58999,0.059791667,42.33191,21.89015,0.10753,0.035462963,23.29214,11.58993,5.78414,0.032766204,24.73443,4.50262,4.74653,0.048831019,26.04,2.897,9.29,0.025532407,21.84671,12.4829,5.78429,0.029664352,26.48193,4.37767,4.08305,0.027141204,15.28149,4.83951,-0.0079188,0.037048611,26.55628,12.82663,4.63905,,,,,0.030856481,39.2357,0.025428241,32.82248,0.03119213,39.2923,0.025428241,33.40015,0.040763889,28.70761,0.033287037,27.05339,0.005729167,3.86342,23.08336242,0.007951389,2.64139,,0.005162037,3.54778,
0.029976852,43.72341,16.86058,12.42166,0.029976852,42.03355,16.1537,11.89752,0.027569444,43.94786,17.0624,12.41016,0.028668981,40.56953,15.57288,11.07059,0.030324074,59.47308,26.00953,14.94866,0.030393519,18.02019,8.70523,5.52409,0.034143519,43.28181,16.6384,12.21786,0.034606481,29.93461,12.93124,7.57719,0.062569444,42.23962,21.82658,0.10711,0.036736111,23.13857,11.54392,5.71271,0.0353125,24.81895,4.49363,4.68636,0.050219907,25.819,2.751,9.162,0.026805556,21.76457,12.44841,5.7145,0.030925926,26.41052,4.35707,4.06573,0.028414352,14.78679,4.61465,-0.01059,0.039594907,26.02173,12.54977,4.52819,,,,,0.033402778,39.18938,0.026701389,32.73377,0.032581019,39.25527,0.026701389,33.31455,0.042037037,28.66726,0.034560185,26.94024,0.005972222,3.41324,19.99901243,0.00818287,2.30827,,0.005393519,3.42277,
